m,c
-3.303,3.3031258267227974
-3.302,3.3021263058584727
-3.301,3.3011267867053826
-3.3,3.3001272692691868
-3.299,3.2991277535555623
-3.298,3.2981282395702007
-3.297,3.2971287273188126
-3.296,3.2961292168071243
-3.295,3.295129708040882
-3.294,3.2941302010258466
-3.293,3.2931306957677964
-3.292,3.2921311922725276
-3.291,3.291131690545854
-3.29,3.2901321905936065
-3.289,3.2891326924216346
-3.288,3.288133196035801
-3.287,3.2871337014419932
-3.286,3.286134208646109
-3.285,3.2851347176540684
-3.284,3.284135228471807
-3.283,3.28313574110528
-3.282,3.2821362555604576
-3.281,3.28113677184333
-3.28,3.2801372899599053
-3.279,3.279137809916208
-3.278,3.278138331718282
-3.277,3.277138855372188
-3.276,3.276139380884005
-3.275,3.275139908259832
-3.274,3.274140437505783
-3.273,3.273140968627993
-3.272,3.2721415016326123
-3.271,3.271142036525813
-3.27,3.270142573313783
-3.269,3.269143112002729
-3.268,3.268143652598876
-3.267,3.2671441951084694
-3.266,3.2661447395377707
-3.265,3.2651452858930607
-3.264,3.264145834180639
-3.263,3.263146384406824
-3.262,3.2621469365779534
-3.261,3.2611474907003815
-3.26,3.260148046780484
-3.259,3.2591486048246536
-3.258,3.2581491648393035
-3.257,3.2571497268308645
-3.256,3.256150290805786
-3.255,3.255150856770539
-3.254,3.2541514247316106
-3.253,3.2531519946955094
-3.252,3.2521525666687614
-3.251,3.2511531406579133
-3.25,3.25015371666953
-3.249,3.249154294710196
-3.248,3.2481548747865165
-3.247,3.247155456905113
-3.246,3.2461560410726316
-3.245,3.245156627295733
-3.244,3.2441572155810987
-3.243,3.2431578059354322
-3.242,3.2421583983654547
-3.241,3.241158992877907
-3.24,3.2401595894795507
-3.239,3.2391601881771663
-3.238,3.2381607889775554
-3.237,3.237161391887539
-3.236,3.236161996913957
-3.235,3.235162604063671
-3.234,3.234163213343561
-3.233,3.2331638247605308
-3.232,3.232164438321499
-3.231,3.2311650540334087
-3.23,3.230165671903222
-3.229,3.2291662919379203
-3.228,3.2281669141445075
-3.227,3.2271675385300056
-3.226,3.2261681651014604
-3.225,3.225168793865935
-3.224,3.2241694248305137
-3.223,3.2231700580023026
-3.222,3.2221706933884295
-3.221,3.2211713309960404
-3.22,3.220171970832303
-3.219,3.219172612904407
-3.218,3.2181732572195627
-3.217,3.2171739037849996
-3.216,3.216174552607971
-3.215,3.215175203695749
-3.214,3.2141758570556282
-3.213,3.2131765126949237
-3.212,3.212177170620973
-3.211,3.211177830841133
-3.21,3.2101784933627844
-3.209,3.2091791581933267
-3.208,3.2081798253401828
-3.207,3.207180494810796
-3.206,3.2061811666126334
-3.205,3.20518184075318
-3.204,3.204182517239946
-3.203,3.2031831960804604
-3.202,3.2021838772822773
-3.201,3.20118456085297
-3.2,3.2001852468001344
-3.199,3.1991859351313887
-3.198,3.198186625854373
-3.197,3.1971873189767503
-3.196,3.196188014506204
-3.195,3.1951887124504403
-3.194,3.1941894128171895
-3.193,3.1931901156142013
-3.192,3.19219082084925
-3.191,3.19119152853013
-3.19,3.190192238664662
-3.189,3.189192951260685
-3.188,3.1881936663260633
-3.187,3.1871943838686825
-3.186,3.1861951038964524
-3.185,3.185195826417303
-3.184,3.18419655143919
-3.183,3.1831972789700895
-3.182,3.182198009018003
-3.181,3.1811987415909524
